externalId,name,consoleAbbreviation,consoleName,publisher,releaseDate,summary
133923,Paper Mario: The Origami King,switch,Nintendo Switch,Nintendo,07/16/2020 21:00:00,"Join Mario and his new companion Olivia on a comedic adventure that will take you to the far corners of a papercraft world in Paper Mario: The Origami King on Nintendo Switch! 
 
Face off against the Origami King and his army of paper invaders, team up with some extraordinary companions and master magical powers on your quest to save the world. 
 
 
Unwrap an epic quest! 
 
Travel the land, repair the damage done by the Folded Soldiers and rescue Toads trapped in all manner of wacky scrapes! 
 
With the help of Olivia’s paper-folding powers, use the far-reaching 1,000 Fold Arms and other paper transformations to save those imprisoned by the Origami King’s henchmen, and help restore peace to the world. 
 
Put a stop to King Olly's plans by engaging in battles which will put both your tactical thinking and puzzle solving skills to the test – against his origami army, as well as humongous bosses under his command!"
88461,"Warhammer 40,000: Mechanicus",switch,Nintendo Switch,Kasedo Games,07/16/2020 21:00:00,"""Take control of one of the most technologically advanced armies in the Imperium - The Adeptus Mechanicus. As Magos Dominus Faustinius, you’ll lead the expedition on the newly rediscovered planet of Silva Tenebris. Manage resources, discover long-forgotten tech, plan tactical operations using the Noosphere technology and control your Tech-Priests every move. 
 
Your every decision will shape the missions ahead and ultimately decide the fate of the troops under your command. However, choose your path carefully - the Imperium depends on it."""
88461,"Warhammer 40,000: Mechanicus",ps4,PlayStation 4,Kasedo Games,07/16/2020 21:00:00,"""Take control of one of the most technologically advanced armies in the Imperium - The Adeptus Mechanicus. As Magos Dominus Faustinius, you’ll lead the expedition on the newly rediscovered planet of Silva Tenebris. Manage resources, discover long-forgotten tech, plan tactical operations using the Noosphere technology and control your Tech-Priests every move. 
 
Your every decision will shape the missions ahead and ultimately decide the fate of the troops under your command. However, choose your path carefully - the Imperium depends on it."""
88461,"Warhammer 40,000: Mechanicus",xone,Xbox One,Kasedo Games,07/16/2020 21:00:00,"""Take control of one of the most technologically advanced armies in the Imperium - The Adeptus Mechanicus. As Magos Dominus Faustinius, you’ll lead the expedition on the newly rediscovered planet of Silva Tenebris. Manage resources, discover long-forgotten tech, plan tactical operations using the Noosphere technology and control your Tech-Priests every move. 
 
Your every decision will shape the missions ahead and ultimately decide the fate of the troops under your command. However, choose your path carefully - the Imperium depends on it."""
132978,Ghost of Tsushima: Digital Deluxe Edition,ps4,PlayStation 4,Sony Interactive Entertainment,07/16/2020 21:00:00,"The Ghost of Tsushima Digital Deluxe Edition includes the following content: 
 
• Game 
• 1 Technique Point 
• Charm of Hachiman’s Favor 
• Hero of Tsushima Skin Set*: Golden Mask, Body Armor, Sword Kit, Horse, Saddle 
• Digital Mini Art Book by Dark Horse 
• Director’s Commentary: The creative team sits down with a renowned Japanese historian to look at the world of Ghost of Tsushima and how it compares to the real-life events that inspired it 
• Ghost of Tsushima Samurai Theme"
105085,Endless Fables 3: Dark Moor,xone,Xbox One,Artifex Mundi,07/18/2020 21:00:00,"During her new adventure, Pamela Cavendish goes to a misty and mysterious Scotland where a seemingly innocent landscape of moor quickly reveals its dark nature. Spectre from the past and ghostly sounds will force her to follow the amazing legend of the Red Moon."
122235,Rogue Company,ps4,PlayStation 4,Hi-Rez Studios,07/19/2020 21:00:00,"Rogue Company is a team-based multiplayer shooter packed with action, tactics, and attitude. With an arsenal of playable mercenaries, guns, abilities, and game modes, there is always something to master 
Rogue Company is a top-secret syndicate of elite mercenaries who carry out paid contracts to combat the world’s biggest wrongs. Rogue Company is an outlaw solution to a broken system. To most of the world, the elusive organization is a rumor at best. However, to those in the know, Rogue Company operatives are indispensable to solving the world’s deadliest and most challenging missions. As a Rogue Company mercenary, players will group up, grab their weapon of choice, and dive into iconic locations to compete online in various PVP game modes. 
Rogue Company will feature crossplay on all major platforms. Team up with friends, regardless of platform, and climb the ranks of Rogue Company."
122235,Rogue Company,xone,Xbox One,Hi-Rez Studios,07/19/2020 21:00:00,"Rogue Company is a team-based multiplayer shooter packed with action, tactics, and attitude. With an arsenal of playable mercenaries, guns, abilities, and game modes, there is always something to master 
Rogue Company is a top-secret syndicate of elite mercenaries who carry out paid contracts to combat the world’s biggest wrongs. Rogue Company is an outlaw solution to a broken system. To most of the world, the elusive organization is a rumor at best. However, to those in the know, Rogue Company operatives are indispensable to solving the world’s deadliest and most challenging missions. As a Rogue Company mercenary, players will group up, grab their weapon of choice, and dive into iconic locations to compete online in various PVP game modes. 
Rogue Company will feature crossplay on all major platforms. Team up with friends, regardless of platform, and climb the ranks of Rogue Company."
122235,Rogue Company,switch,Nintendo Switch,Hi-Rez Studios,07/19/2020 21:00:00,"Rogue Company is a team-based multiplayer shooter packed with action, tactics, and attitude. With an arsenal of playable mercenaries, guns, abilities, and game modes, there is always something to master 
Rogue Company is a top-secret syndicate of elite mercenaries who carry out paid contracts to combat the world’s biggest wrongs. Rogue Company is an outlaw solution to a broken system. To most of the world, the elusive organization is a rumor at best. However, to those in the know, Rogue Company operatives are indispensable to solving the world’s deadliest and most challenging missions. As a Rogue Company mercenary, players will group up, grab their weapon of choice, and dive into iconic locations to compete online in various PVP game modes. 
Rogue Company will feature crossplay on all major platforms. Team up with friends, regardless of platform, and climb the ranks of Rogue Company."
121714,Rock of Ages 3: Make & Break,xone,Xbox One,Modus Games,07/20/2020 21:00:00,"Rock of Ages 3: Make & Break is competitive tower defense and arcade action rolled up with ACE Team's quirky, Monty Python-esque humor into one giant, creative game for the ages. 
 
Jump into the expansive, gut-busting story for an eclectic adventure featuring bizarre and irreverent takes on legendary characters, or for the first time, create and share your own levels to compete with friends and strangers online in a real-time mix of hectic tower defense and epic boulder-racing arcade action."
121714,Rock of Ages 3: Make & Break,ps4,PlayStation 4,Modus Games,07/20/2020 21:00:00,"Rock of Ages 3: Make & Break is competitive tower defense and arcade action rolled up with ACE Team's quirky, Monty Python-esque humor into one giant, creative game for the ages. 
 
Jump into the expansive, gut-busting story for an eclectic adventure featuring bizarre and irreverent takes on legendary characters, or for the first time, create and share your own levels to compete with friends and strangers online in a real-time mix of hectic tower defense and epic boulder-racing arcade action."
121714,Rock of Ages 3: Make & Break,switch,Nintendo Switch,Modus Games,07/20/2020 21:00:00,"Rock of Ages 3: Make & Break is competitive tower defense and arcade action rolled up with ACE Team's quirky, Monty Python-esque humor into one giant, creative game for the ages. 
 
Jump into the expansive, gut-busting story for an eclectic adventure featuring bizarre and irreverent takes on legendary characters, or for the first time, create and share your own levels to compete with friends and strangers online in a real-time mix of hectic tower defense and epic boulder-racing arcade action."
109299,Liquid Sunshine,xone,Xbox One,God As A Cucumber,07/20/2020 21:00:00,"Guide a monkey, horse and a rhino through challenging puzzles, and discover the roots of their relationship through a full-blown comic book backstory."
116195,Panzer Paladin,switch,Nintendo Switch,Tribute Games Inc.,07/20/2020 21:00:00,"Hop in the Paladin power armor, seize melee weapons from the demonic invaders and give them a taste of their own medicine!"
110834,Creaks,ps4,PlayStation 4,Amanita Design,07/21/2020 21:00:00,"The ground starts shaking, light bulbs are breaking - and something rather unusual is happening right behind the walls of your very room. Equipped with nothing but wit and courage, you slowly descend into a world inhabited by avian folk and seemingly deadly furniture monsters."
110834,Creaks,xone,Xbox One,Amanita Design,07/21/2020 21:00:00,"The ground starts shaking, light bulbs are breaking - and something rather unusual is happening right behind the walls of your very room. Equipped with nothing but wit and courage, you slowly descend into a world inhabited by avian folk and seemingly deadly furniture monsters."
110834,Creaks,switch,Nintendo Switch,Amanita Design,07/21/2020 21:00:00,"The ground starts shaking, light bulbs are breaking - and something rather unusual is happening right behind the walls of your very room. Equipped with nothing but wit and courage, you slowly descend into a world inhabited by avian folk and seemingly deadly furniture monsters."
28528,Röki,switch,Nintendo Switch,CI Games,07/22/2020 21:00:00,"Röki is an adventure game inspired by Scandinavian folklore; a dark contemporary fairy tale underpinned by a touching narrative, alluring art style, ancient puzzles and atmospheric exploration. 
 
We join Tove on a fantastical journey to save her family. A journey that takes her deep into a hidden and long forgotten world of lost folklore filled with strange locations and even stranger creatures. 
 
Explore the ancient wilderness, solve it’s mysteries, save your family in this modern adventure game for all. 
 
“EXPLORE a Living Fairy Tale Forest” - Join Tove to Explore a rich and beguiling world of wintry Scandinavian folklore, a world alive with detail and life crafted in Röki’s signature graphical art style. 
 
“Make Friends WIth MONSTERS” - Seek out the ancient and magical creatures of the Scandinavian wilderness, some are friendly, some not so much!. Röki has a rich cast of unique ‘creepy-but-cute’ characters to discover our own take on Nordic folklore. 
 
 
“SEARCH for Long Forgotten Items” - The ancient wilderness holds many secrets. Seek out long forgotten items to aid you on your adventure. 
 
 
“SOLVE the Riddles of the Wilderness” - Röki is a game of brains not brawn. Can you unlock ancient pathways and solve the riddles of the ancients 
 
 
“CHART your Journey” - Tove charts her progress in her trusty journal, it’s her grail diary. Map uncharted regions, delve deeper into the rich lore of Scandinavian folklore, collect loot and earn unique ‘wilderness explorer’ badges 
 
 
“An ADVENTURE For ALL” - Röki is an adventure game for ALL gamers. With its non-violent gameplay, accessible controls and universal themes it is a journey to delight all gamers. The game is designed uniquely to pose a challenge but to also offer a helping hand when adventurers need it meaning it can be enjoyed by all. A truly modern take on the Adventure game genre."
132164,Crysis Remastered,switch,Nintendo Switch,Crytek,07/22/2020 21:00:00,
90055,Carrion,xone,Xbox One,Devolver Digital,07/22/2020 21:00:00,Carrion is a reverse horror game in which you assume the role of an amorphous alien being. Use your unique otherworldly abilities to your advantage and hunt down your prey!
90055,Carrion,ps4,PlayStation 4,Devolver Digital,07/22/2020 21:00:00,Carrion is a reverse horror game in which you assume the role of an amorphous alien being. Use your unique otherworldly abilities to your advantage and hunt down your prey!
90055,Carrion,switch,Nintendo Switch,Devolver Digital,07/22/2020 21:00:00,Carrion is a reverse horror game in which you assume the role of an amorphous alien being. Use your unique otherworldly abilities to your advantage and hunt down your prey!
135945,SUSHI REVERSI,switch,Nintendo Switch,CAERUX,07/22/2020 21:00:00,
